designator,value,package,manufacturer,mfr_part,lcsc,pins
U9,1K-R0603,R0603,null,1K-R0603,C9900009267,2
U90,C0603,C0603,null,C0603,C9900029884,2
U91,C0603,C0603,null,C0603,C9900029884,2
U92,C0603,C0603,null,C0603,C9900029884,2
U93,C0603,C0603,null,C0603,C9900029884,2
U94,C0603,C0603,null,C0603,C9900029884,2
U95,C0603,C0603,null,C0603,C9900029884,2
U96,C0603,C0603,null,C0603,C9900029884,2
U97,C0603,C0603,null,C0603,C9900029884,2
U98,C0603,C0603,null,C0603,C9900029884,2
U99,C0603,C0603,null,C0603,C9900029884,2
X2,25MHz,OSC-SMD_4P-L2.5-W2.0-BL,ECS,ECS-2520MV-250-CN-TR,C405464,4
