designator,value,package,manufacturer,mfr_part,lcsc,pins
C33,4.7uF,C2220,CCTC(三环),TCC2220X7R475K500GT,C377139,2
C34,33nF,C1206,YAGEO(国巨),AC1206KRX7R9BB333,C726608,2
C35,33nF,C1206,YAGEO(国巨),AC1206KRX7R9BB333,C726608,2
C36,0.1UF-C0402,C0402,null,0.1uF-c0402,C9900008998,2
C38,0.1UF-C0402,C0402,null,0.1uF-c0402,C9900008998,2
C4,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C5,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
C6,470uF,CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,KNSCHA(科尼盛),XT470UF25V90RV0111,C3445244,2
C7,470uF,CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,KNSCHA(科尼盛),XT470UF25V90RV0111,C3445244,2
C8,470uF,CAP-SMD_BD10.0-L10.3-W10.3-LS11.3-FD,KNSCHA(科尼盛),XT470UF25V90RV0111,C3445244,2
C9,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
CBA1,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
CBA2,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
CBA3,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
CBA4,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
CH1,BSC190N15NS3G-TP,TDSON-8_L5.9-W5.2-P1.27-BL-1,TECH PUBLIC(台舟),BSC190N15NS3G-TP,C49375117,5
CH2,BSC190N15NS3G-TP,TDSON-8_L5.9-W5.2-P1.27-BL-1,TECH PUBLIC(台舟),BSC190N15NS3G-TP,C49375117,5
CL1,BSC190N15NS3G-TP,TDSON-8_L5.9-W5.2-P1.27-BL-1,TECH PUBLIC(台舟),BSC190N15NS3G-TP,C49375117,5
CL2,BSC190N15NS3G-TP,TDSON-8_L5.9-W5.2-P1.27-BL-1,TECH PUBLIC(台舟),BSC190N15NS3G-TP,C49375117,5
CN1,XT30UW-F.G.Y,CONN-TH_XT30UW-F.G.Y,AMASS(艾迈斯),XT30UW-F.G.Y,C19268025,2
CVA1,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
CVA2,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
CVA3,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
CVA4,DLC10P-C0805,C0805,null,DLC10P-C0805,C9900002367,2
D1,BAT54-7-F,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,DIODES(美台),BAT54-7-F,C106920,3
D11,BAT54-7-F,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,DIODES(美台),BAT54-7-F,C106920,3
D12,BAT54-7-F,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,DIODES(美台),BAT54-7-F,C106920,3
D2,BAT54-7-F,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,DIODES(美台),BAT54-7-F,C106920,3
D3,BAT54-7-F,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,DIODES(美台),BAT54-7-F,C106920,3
D4,BAT54-7-F,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,DIODES(美台),BAT54-7-F,C106920,3
D5,BAT54-7-F,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,DIODES(美台),BAT54-7-F,C106920,3
D6,BAT54-7-F,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,DIODES(美台),BAT54-7-F,C106920,3
DBA1,MURA160T3G,SMA_L4.3-W2.6-LS5.2-RD,onsemi(安森美),MURA160T3G,C50432,2
DBA2,MURA160T3G,SMA_L4.3-W2.6-LS5.2-RD,onsemi(安森美),MURA160T3G,C50432,2
DBA3,MURA160T3G,SMA_L4.3-W2.6-LS5.2-RD,onsemi(安森美),MURA160T3G,C50432,2
DBA4,MURA160T3G,SMA_L4.3-W2.6-LS5.2-RD,onsemi(安森美),MURA160T3G,C50432,2
DH1,BSC190N15NS3G-TP,TDSON-8_L5.9-W5.2-P1.27-BL-1,TECH PUBLIC(台舟),BSC190N15NS3G-TP,C49375117,5
DH2,BSC190N15NS3G-TP,TDSON-8_L5.9-W5.2-P1.27-BL-1,TECH PUBLIC(台舟),BSC190N15NS3G-TP,C49375117,5
DL1,BSC190N15NS3G-TP,TDSON-8_L5.9-W5.2-P1.27-BL-1,TECH PUBLIC(台舟),BSC190N15NS3G-TP,C49375117,5
DL2,BSC190N15NS3G-TP,TDSON-8_L5.9-W5.2-P1.27-BL-1,TECH PUBLIC(台舟),BSC190N15NS3G-TP,C49375117,5
L1,47uH,IND-SMD_L17.2-W17.2,VISHAY(威世),IHLP6767GZER470M11,C499489,2
L2,L0805,L0805,null,L0805,C2908142,2
U10,C0603,C0603,null,C0603,C9900029884,2
U100,C0603,C0603,null,C0603,C9900029884,2
U101,AP2112K-3.3TRG1,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,DIODES(美台),AP2112K-3.3TRG1,C51118,5
U102,1K-R0603,R0603,null,1K-R0603,C9900009267,2
U103,C0603,C0603,null,C0603,C9900029884,2
U104,C0603,C0603,null,C0603,C9900029884,2
U105,KH-1.27FH-2X5P-H4.3-SMT,CONN-SMD_10P-P1.27_KINGHELM_KH-1.27FH-2X5P-H4.3-SMT,kinghelm(金航标),KH-1.27FH-2X5P-H4.3-SMT,C22440865,10
U106,HHXC630ARA220MF80G,CAP-SMD_BD6.3-L6.6-W6.6-LS7.3-FD-H7.7,NCC(日本贵弥功),HHXC630ARA220MF80G,C2162325,2
U107,HHXC630ARA220MF80G,CAP-SMD_BD6.3-L6.6-W6.6-LS7.3-FD-H7.7,NCC(日本贵弥功),HHXC630ARA220MF80G,C2162325,2
U108,8K1%-R0603,R0603,null,8K1%-R0603,C9900012436,2
U109,ISO224BDWVR_C22400024,SOIC-8_L7.5-W5.9-P1.27-LS11.5-BL,TI(德州仪器),ISO224BDWVR,C22400024,8
U11,8K1%-R0603,R0603,null,8K1%-R0603,C9900012436,2
U110,1NF-C0603,C0603,null,1nF-C0603,C2940049,2
U111,1NF-C0603,C0603,null,1nF-C0603,C2940049,2
U112,1NF-C0603,C0603,null,1nF-C0603,C2940049,2
U123,C0603,C0603,null,C0603,C9900029884,2
U124,C0603,C0603,null,C0603,C9900029884,2
U14,TPSM560R6HRDAR,B3QFN-15_TI_TPSM53603,TI(德州仪器),TPSM560R6HRDAR,C5219341,15
U15,12.5PF-C0402,C0402,null,12.5pF-C0402,C9900019607,2
U16,170R-R0402,R0402,null,170R-R0402,C9900009493,2
U17,170R-R0402,R0402,null,170R-R0402,C9900009493,2
U18,TPSM560R6HRDAR,B3QFN-15_TI_TPSM53603,TI(德州仪器),TPSM560R6HRDAR,C5219341,15
U19,UCC14141QDWNRQ1,SSOP-36_L12.8-W7.5-P0.65-LS10.3-BL,TI(德州仪器),UCC14141QDWNRQ1,C22427330,36
U2,8K1%-R0603,R0603,null,8K1%-R0603,C9900012436,2
U20,10UF-C0603,C0603,null,10UF-C0603,C9900009452,2
U21,C0603,C0603,null,C0603,C9900029884,2
U22,STM32H723ZGT6,LQFP-144_L20.0-W20.0-P0.50-LS22.0-BL,ST(意法半导体),STM32H723ZGT6,C730146,144
U23,12.5PF-C0402,C0402,null,12.5pF-C0402,C9900019607,2
U24,170R-R0402,R0402,null,170R-R0402,C9900009493,2
U25,170R-R0402,R0402,null,170R-R0402,C9900009493,2
U26,TPSM560R6HRDAR,B3QFN-15_TI_TPSM53603,TI(德州仪器),TPSM560R6HRDAR,C5219341,15
U27,TPSM560R6HRDAR,B3QFN-15_TI_TPSM53603,TI(德州仪器),TPSM560R6HRDAR,C5219341,15
U28,170R-R0402,R0402,null,170R-R0402,C9900009493,2
U29,170R-R0402,R0402,null,170R-R0402,C9900009493,2
U3,C0603,C0603,null,C0603,C9900029884,2
U30,12.5PF-C0402,C0402,null,12.5pF-C0402,C9900019607,2
U31,TPSM560R6HRDAR,B3QFN-15_TI_TPSM53603,TI(德州仪器),TPSM560R6HRDAR,C5219341,15
U32,170R-R0402,R0402,null,170R-R0402,C9900009493,2
U33,170R-R0402,R0402,null,170R-R0402,C9900009493,2
U34,12.5PF-C0402,C0402,null,12.5pF-C0402,C9900019607,2
U35,C0603,C0603,null,C0603,C9900029884,2
U36,0.1uF,C0603,null,10UF-C0603,C9900009452,2
U37,1uF,C0805,null,0.5pF-C0805,C9900009443,2
U38,8K1%-R0603,R0603,null,8K1%-R0603,C9900012436,2
U39,C0603,C0603,null,C0603,C9900029884,2
U4,8K1%-R0603,R0603,null,8K1%-R0603,C9900012436,2
U40,8K1%-R0603,R0603,null,8K1%-R0603,C9900012436,2
U41,C0603,C0603,null,C0603,C9900029884,2
U42,9.75K R0805,R0805,null,9.75K R0805,C9900046372,2
U43,0.5PF-C0805,C0805,null,0.5pF-C0805,C9900009443,2
U44,0.5PF-C0805,C0805,null,0.5pF-C0805,C9900009443,2
U45,170R-R0402,R0402,null,170R-R0402,C9900009493,2
U46,170R-R0402,R0402,null,170R-R0402,C9900009493,2
U47,120R@100MHZ/200MA-R0603,R0603,null,120R@100MHz/200mA-R0603,C9900007798,2
U48,10UF-C0603,C0603,null,10UF-C0603,C9900009452,2
U49,120R@100MHZ/200MA-R0603,R0603,null,120R@100MHz/200mA-R0603,C9900007798,2
U5,9.75K R0805,R0805,null,9.75K R0805,C9900046372,2
U50,C0603,C0603,null,C0603,C9900029884,2
U51,0.5PF-C0805,C0805,null,0.5pF-C0805,C9900009443,2
U52,170R-R0402,R0402,null,170R-R0402,C9900009493,2
U53,170R-R0402,R0402,null,170R-R0402,C9900009493,2
U54,0.5PF-C0805,C0805,null,0.5pF-C0805,C9900009443,2
U55,0.5PF-C0805,C0805,null,0.5pF-C0805,C9900009443,2
U56,0.5PF-C0805,C0805,null,0.5pF-C0805,C9900009443,2
U57,UCC14141QDWNRQ1,SSOP-36_L12.8-W7.5-P0.65-LS10.3-BL,TI(德州仪器),UCC14141QDWNRQ1,C22427330,36
U58,C0603,C0603,null,C0603,C9900029884,2
U59,C0603,C0603,null,C0603,C9900029884,2
U6,C0603,C0603,null,C0603,C9900029884,2
U60,1.5uF,CAP-TH_L18.0-W11.0-P15.00-D0.8,TDK,B32672P5155K000,C3799347,2
U61,1.5uF,CAP-TH_L18.0-W11.0-P15.00-D0.8,TDK,B32672P5155K000,C3799347,2
U62,1.5uF,CAP-TH_L18.0-W11.0-P15.00-D0.8,TDK,B32672P5155K000,C3799347,2
U63,1.5uF,CAP-TH_L18.0-W11.0-P15.00-D0.8,TDK,B32672P5155K000,C3799347,2
U64,HHXC630ARA220MF80G,CAP-SMD_BD6.3-L6.6-W6.6-LS7.3-FD-H7.7,NCC(日本贵弥功),HHXC630ARA220MF80G,C2162325,2
U65,HHXC630ARA220MF80G,CAP-SMD_BD6.3-L6.6-W6.6-LS7.3-FD-H7.7,NCC(日本贵弥功),HHXC630ARA220MF80G,C2162325,2
U66,C0603,C0603,null,C0603,C9900029884,2
U67,9.75K R0805,R0805,null,9.75K R0805,C9900046372,2
U68,C0603,C0603,null,C0603,C9900029884,2
U69,8K1%-R0603,R0603,null,8K1%-R0603,C9900012436,2
U7,9.75K R0805,R0805,null,9.75K R0805,C9900046372,2
U70,C0603,C0603,null,C0603,C9900029884,2
U71,8K1%-R0603,R0603,null,8K1%-R0603,C9900012436,2
U72,170R-R0402,R0402,null,170R-R0402,C9900009493,2
U73,170R-R0402,R0402,null,170R-R0402,C9900009493,2
U74,12.5PF-C0402,C0402,null,12.5pF-C0402,C9900019607,2
U75,C0603,C0603,null,C0603,C9900029884,2
U76,C0603,C0603,null,C0603,C9900029884,2
U77,ISO7740DW,SOIC-16_L10.3-W7.5-P1.27-LS10.3-BL,null,ISO7740DW,C2863321,16
U78,C0603,C0603,null,C0603,C9900029884,2
U79,C0603,C0603,null,C0603,C9900029884,2
U8,C0603,C0603,null,C0603,C9900029884,2
U80,120R@100MHZ/200MA-R0603,R0603,null,120R@100MHz/200mA-R0603,C9900007798,2
U81,10UF-C0603,C0603,null,10UF-C0603,C9900009452,2
U82,XT60,CONN-TH_XT60,AMASS(艾迈斯),XT60-M.,C98733,2
U83,XT60,CONN-TH_XT60,AMASS(艾迈斯),XT60-M.,C98733,2
U84,UCC33420RAQR_C46461551,VSON-12_L5.0-W4.0-P0.65-TL_PUCC33420QRAQRQ1,TI(德州仪器),UCC33420RAQR,C46461551,8
U85,170R-R0402,R0402,null,170R-R0402,C9900009493,2
U86,C0603,C0603,null,C0603,C9900029884,2
U87,C0603,C0603,null,C0603,C9900029884,2
U88,C0603,C0603,null,C0603,C9900029884,2
U89,C0603,C0603,null,C0603,C9900029884,2
U9,8K1%-R0603,R0603,null,8K1%-R0603,C9900012436,2
U90,C0603,C0603,null,C0603,C9900029884,2
U91,C0603,C0603,null,C0603,C9900029884,2
U92,C0603,C0603,null,C0603,C9900029884,2
U93,C0603,C0603,null,C0603,C9900029884,2
U94,TMCS1133C2AQDVGR,SOIC-10_L10.5-W7.5-P1.27-LS10.5-BL_TI_DVG0010A,TI(德州仪器),TMCS1133C2AQDVGR,C35413959,10
U95,C0603,C0603,null,C0603,C9900029884,2
U96,C0603,C0603,null,C0603,C9900029884,2
U97,C0603,C0603,null,C0603,C9900029884,2
U98,C0603,C0603,null,C0603,C9900029884,2
U99,C0603,C0603,null,C0603,C9900029884,2
X2,25MHz,OSC-SMD_4P-L2.5-W2.0-BL,ECS,ECS-2520MV-250-CN-TR,C405464,4
